company,job_title,location,company_size,company_type,company_sector,company_industry,company_revenue,job_simpl,seniority,state,salary_estimate,company_founded,hourly,rating,python_yn,spark_yn,azure_yn,aws_yn,excel_yn,machine_learning_yn,description_len,company_age,size,type,sector,revenue,zone
Amgen,Sr. Associate Data Scientist (Remote),"Thousand Oaks, CA",10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,$10+ billion (USD),data scientist,Senior,CA,93901.0,1980.0,0.0,4.1,1.0,0.0,0.0,0.0,1.0,1.0,694.0,42.0,Huge company,Company - Public,Healthcare,$10+ billion (USD),Western
"STEPS TALENT, LLC",Data Scientist - 3 positions - 100% remote,Remote,1 to 50 Employees,Company - Private,Human Resources & Staffing,HR Consulting,$1 to $5 million (USD),data scientist,mid,Remote,130000.0,2022.0,1.0,4.020000000000001,1.0,0.0,1.0,0.0,0.0,1.0,190.0,0.0,Small company,Company - Private,Business services,Less than $5 million (USD),Remote
i28 technologies corporation,Entry Level Data Scientist/AIML Engineer - 114009,"Marysville, MI",1 to 50 Employees,Company - Private,Financial Services,Accounting & Tax,Less than $1 million (USD),data scientist,junior,MI,57500.0,1984.6,0.0,4.2,1.0,0.0,0.0,0.0,0.0,0.0,70.0,37.4,Small company,Company - Private,Financial and housing services,Less than $5 million (USD),Midwestern
Salesforce,"Staff Data Scientist, Customer Experience",Remote,10000+ Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,$10+ billion (USD),data scientist,mid,Remote,150200.0,1999.0,0.0,4.4,1.0,1.0,0.0,0.0,0.0,1.0,545.0,23.0,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Remote
Boston Scientific Corporation,Senior Data Scientist,"Marlborough, MA",10000+ Employees,Company - Public,Manufacturing,Health Care Products Manufacturing,$10+ billion (USD),data scientist,Senior,MA,116444.0,1979.0,0.0,4.2,1.0,0.0,1.0,1.0,1.0,1.0,687.0,43.0,Huge company,Company - Public,Industry,$10+ billion (USD),Northeastern
TikTok,"Data Scientist, University Graduate (Data Analysis TikTok)- 2023 Start (BS/MS)","Seattle, WA",1001 to 5000 Employees,Company - Private,Information Technology,Internet & Web Services,Unknown / Non-Applicable,data scientist,Senior,WA,123790.0,2016.0,0.0,3.7,1.0,0.0,0.0,0.0,1.0,1.0,613.0,6.0,Large company,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Western
Amazon.com Services LLC,NLP Data Scientist,"Pittsburgh, PA",10000+ Employees,Company - Public,Information Technology,Internet & Web Services,$10+ billion (USD),data scientist,mid,PA,113710.0,1994.0,0.0,3.8,1.0,0.0,0.0,0.0,1.0,1.0,404.0,28.0,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Northeastern
AIVantage INC,Data Scientist,Remote,1 to 50 Employees,Company - Private,Management & Consulting,Business Consulting,$1 to $5 million (USD),data scientist,Senior,Remote,115000.0,2022.0,0.0,3.8899999999999997,1.0,0.0,0.0,0.0,0.0,1.0,282.0,0.0,Small company,Company - Private,Business services,Less than $5 million (USD),Remote
Loon,"Data Scientist, Plant Biology","Mountain View, CA",Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,data scientist,mid,CA,110783.0,1908.3,0.0,4.7,1.0,0.0,0.0,1.0,0.0,1.0,529.0,113.7,Unknown size,Company - Private,Unknown,Unknown / Non-Applicable,Western
Mican Technologies,Data Scientist(W2),Remote,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,$5 to $25 million (USD),data scientist,mid,Remote,125000.0,2007.0,1.0,4.3,1.0,0.0,0.0,0.0,0.0,1.0,190.0,15.0,Medium-sized company,Company - Private,IT and Telecommunications,$5 to $100 million (USD),Remote
IBM,2023 Senior Data Scientist - IBM Consulting,"New York, NY",10000+ Employees,Company - Public,Information Technology,Information Technology Support Services,$10+ billion (USD),data scientist,Senior,NY,114768.0,1911.0,0.0,4.1,1.0,0.0,1.0,1.0,0.0,1.0,657.0,111.0,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Northeastern
Atlassian,"Associate Data Scientist, 2023 Graduate","Mountain View, CA",5001 to 10000 Employees,Company - Public,Information Technology,Software Development,Unknown / Non-Applicable,data scientist,junior,CA,119046.0,2002.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,1.0,438.0,20.0,Large company,Company - Public,IT and Telecommunications,Unknown / Non-Applicable,Western
Augray,Junior Data Scientist,"Brookfield, WI",51 to 200 Employees,Subsidiary or Business Segment,Information Technology,Information Technology Support Services,Unknown / Non-Applicable,data scientist,junior,WI,57500.0,2014.0,0.0,4.1,1.0,0.0,0.0,0.0,0.0,1.0,438.0,8.0,Medium-sized company,Other institutions,IT and Telecommunications,Unknown / Non-Applicable,Midwestern
Tetra Tech,"Data Scientist, Engineer","Kingston, RI",10000+ Employees,Company - Public,"Construction, Repair & Maintenance Services",Architectural & Engineering Services,$1 to $5 billion (USD),data scientist,Senior,RI,95000.0,1966.0,0.0,3.8,1.0,1.0,0.0,0.0,1.0,1.0,1045.0,56.0,Huge company,Company - Public,Industry,$1 to $10 billion (USD),Northeastern
Lightcast,Data Scientist I (Remote),"Boston, MA",1 to 50 Employees,Company - Private,Government & Public Administration,State & Regional Agencies,Unknown / Non-Applicable,data scientist,Senior,MA,99067.0,2011.0,0.0,4.4,1.0,0.0,0.0,0.0,0.0,1.0,278.0,11.0,Small company,Company - Private,Other sectors,Unknown / Non-Applicable,Northeastern
Infoserv LLC,Data Scientist,Remote,201 to 500 Employees,Company - Private,Information Technology,Software Development,$5 to $25 million (USD),data scientist,mid,Remote,65000.0,2004.0,1.0,3.5200000000000005,1.0,0.0,0.0,0.0,0.0,0.0,56.0,18.0,Medium-sized company,Company - Private,IT and Telecommunications,$5 to $100 million (USD),Remote
StoryFit,NLP Data Scientist,"Austin, TX",1 to 50 Employees,Company - Private,Management & Consulting,Membership Organizations,Unknown / Non-Applicable,data scientist,Senior,TX,115874.0,1990.6,0.0,4.4,1.0,0.0,0.0,0.0,0.0,1.0,418.0,31.4,Small company,Company - Private,Business services,Unknown / Non-Applicable,Southern
"WhirlWind Technologies, LLC",Jr. Data Scientist,Remote,1 to 50 Employees,Company - Public,Unknown,Unknown,$1 to $5 million (USD),data scientist,junior,Remote,98000.0,1843.1,0.0,4.8,1.0,1.0,0.0,0.0,1.0,1.0,471.0,178.9,Small company,Company - Public,Unknown,Less than $5 million (USD),Remote
Amgen,Data Scientist (Remote),"Thousand Oaks, CA",10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,$10+ billion (USD),data scientist,Senior,CA,105700.0,1980.0,0.0,4.1,1.0,0.0,0.0,0.0,1.0,1.0,685.0,42.0,Huge company,Company - Public,Healthcare,$10+ billion (USD),Western
Bayer,Data Scientist,"Chesterfield, MO",10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,$10+ billion (USD),data scientist,Senior,MO,110000.0,1863.0,0.0,4.2,1.0,0.0,0.0,1.0,0.0,1.0,571.0,159.0,Huge company,Company - Public,Healthcare,$10+ billion (USD),Midwestern
Federal Reserve Bank of New York,Data Scientist,"New York, NY",1001 to 5000 Employees,Company - Private,Financial Services,Banking & Lending,$10+ billion (USD),data scientist,Senior,NY,119109.0,1914.0,0.0,4.5,0.0,0.0,0.0,0.0,1.0,1.0,920.0,108.0,Large company,Company - Private,Financial and housing services,$10+ billion (USD),Northeastern
Kellogg Company,Lead Data Scientist,"Battle Creek, MI",10000+ Employees,Company - Public,Manufacturing,Food & Beverage Manufacturing,$10+ billion (USD),data scientist,Senior,MI,117938.0,1906.0,0.0,3.8,1.0,0.0,0.0,1.0,0.0,0.0,607.0,116.0,Huge company,Company - Public,Industry,$10+ billion (USD),Midwestern
Talent Group,Data scientist@ Remote Contract,Remote,1 to 50 Employees,Company - Public,Media & Communication,Broadcast Media,Less than $1 million (USD),data scientist,mid,Remote,80700.0,1979.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,115.0,43.0,Small company,Company - Public,Media and Entertaiment,Less than $5 million (USD),Remote
AT&T,Professional-Data Scientist,"Bothell, WA",10000+ Employees,Company - Public,Telecommunications,Telecommunications Services,$10+ billion (USD),data scientist,Senior,WA,144000.0,1983.0,0.0,3.7,1.0,1.0,0.0,0.0,0.0,1.0,499.0,39.0,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Western
