job_simpl,seniority,size,type,sector,revenue,zone,salary_estimate,company_age,python_yn,spark_yn,azure_yn,aws_yn,excel_yn,machine_learning_yn
data scientist,Senior,Medium-sized company,Company - Private,IT and Telecommunications,$5 to $100 million (USD),Remote,120000.0,12.4,1.0,0.0,1.0,0.0,1.0,1.0
data scientist,mid,Large company,Company - Public,IT and Telecommunications,Unknown / Non-Applicable,Remote,150200.0,8.0,1.0,1.0,0.0,0.0,0.0,1.0
data engineer,junior,Huge company,Company - Public,IT and Telecommunications,$10+ billion (USD),Southern,70785.0,111.0,1.0,1.0,1.0,1.0,0.0,1.0
data scientist,junior,Large company,Company - Public,IT and Telecommunications,$1 to $10 billion (USD),Northeastern,99762.0,36.0,1.0,1.0,1.0,0.0,0.0,1.0
data scientist,Senior,Large company,Company - Public,IT and Telecommunications,$1 to $10 billion (USD),Northeastern,115151.0,13.0,1.0,1.0,0.0,1.0,0.0,1.0
data scientist,Senior,Large company,Company - Public,IT and Telecommunications,$100 million to $1 billion (USD),Remote,158000.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0
data scientist,mid,Unknown size,Company - Private,IT and Telecommunications,Unknown / Non-Applicable,Western,140505.0,13.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,Senior,Unknown size,Company - Public,Unknown,Unknown / Non-Applicable,Remote,89700.0,16.1,1.0,0.0,0.0,1.0,0.0,1.0
data scientist,Senior,Huge company,Company - Public,Industry,$1 to $10 billion (USD),Northeastern,83212.0,128.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,Senior,Unknown size,Other institutions,IT and Telecommunications,Unknown / Non-Applicable,Remote,140000.0,13.4,1.0,0.0,0.0,1.0,0.0,1.0
data scientist,mid,Unknown size,Company - Private,Unknown,Unknown / Non-Applicable,Southern,98828.0,189.4,1.0,0.0,0.0,0.0,0.0,1.0
data scientist,mid,Huge company,Company - Private,Financial and housing services,$10+ billion (USD),Remote,124750.0,110.0,1.0,0.0,0.0,0.0,1.0,1.0
data scientist,Senior,Unknown size,Company - Public,IT and Telecommunications,Unknown / Non-Applicable,Remote,190000.0,122.7,1.0,0.0,0.0,0.0,0.0,1.0
